Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.06      8.57     0.01                             F64_mult_efficient (field_op.h:32 @ 40130e)
  0.06      8.57     0.01                             F64_mult_efficient (field_op.h:36 @ 401323)
  0.06      8.58     0.01                             F64_mult_efficient (field_op.h:38 @ 401327)
  0.06      8.58     0.01                             FIRST_Pre_Proc.omp_fn.0 (hash.c:138 @ 400bf0)
  0.06      8.59     0.01                             STD_Pre_Proc (hash.c:179 @ 4019b5)
  0.06      8.59     0.01                             _mm_extract_epi64 (smmintrin.h:455 @ 401286)
  0.06      8.60     0.01                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 402455)
  0.06      8.60     0.01                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 40249a)
  0.06      8.61     0.01                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 402541)
  0.06      8.61     0.01                             _mm_shuffle_pd (emmintrin.h:885 @ 40245a)
  0.06      8.62     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 40214f)
  0.06      8.62     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 40237a)
  0.06      8.63     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 4023c7)
  0.06      8.63     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 40241a)
  0.06      8.64     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 40248b)
  0.06      8.64     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 402532)
  0.06      8.65     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 402575)
  0.06      8.65     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 40213e)
  0.06      8.66     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 402147)
  0.06      8.66     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 40237f)
  0.06      8.67     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 402416)
  0.06      8.67     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 40245e)
  0.06      8.68     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 402487)
  0.06      8.68     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 40249f)
  0.06      8.69     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 402546)
  0.06      8.69     0.01                             main (prof.c:12 @ 400bc7)
  0.06      8.70     0.01                             merkle_damgard (hash.c:407 @ 4019ae)
  0.00      8.70     0.00  4288611     0.00     0.00  AES_192_Key_Expansion (aes_key_expansion.c:78 @ 402340)
  0.00      8.70     0.00  4170697     0.00     0.00  main (prof.c:7 @ 400b80)
  0.00      8.70     0.00   100000     0.00     0.00  merkle_damgard (hash.c:383 @ 401530)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

